Sample_Time,Sample_Year,Site,PSP,TREE_ID,SPCD,STAT_new,DBH_cm,TLHT_m,CRCL,PREVDBH_cm,PREVTLHT_m,PREVCRCL,STAT,DBH_live,TLHT_live,CRCL_live
1,1995,1021,10061,104852,4,0,18.6182,19.5072,2,,,,0,18.6182,19.5072,2
2,2000,1021,10061,104852,4,0,19.177,21.336,1,18.6182,19.5072,,0,19.177,21.336,1
3,2005,1021,10061,104852,4,0,19.6342,21.336,2,19.177,21.336,,0,19.6342,21.336,2
4,2010,1021,10061,104852,4,0,19.8374,23.1648,2,19.6342,21.336,,0,19.8374,23.1648,2
1,1995,1021,10061,104854,4,0,11.303,17.6784,3,,,,0,11.303,17.6784,3
2,2000,1021,10061,104854,4,0,11.303,18.288,4,11.303,17.6784,,0,11.303,18.288,4
3,2005,1021,10061,104854,4,0,11.4808,18.288,3,11.303,18.288,,0,11.4808,18.288,3
1,1999,1067,10201,114155,4,0,8.9154,11.8872,2,,,,0,8.9154,11.8872,2
4,2014,1067,10201,114155,4,0,9.5504,12.4968,2,9.4742,0,,0,9.5504,12.4968,2
1,1995,1021,10061,104858,4,0,10.5664,18.8976,3,,,,0,10.5664,18.8976,3
2,2000,1021,10061,104858,4,0,10.6172,17.0688,3,10.5664,18.8976,,0,10.6172,17.0688,3
1,1995,1021,10061,104859,4,0,14.9606,21.6408,2,,,,0,14.9606,21.6408,2
2,2000,1021,10061,104859,4,0,15.6972,21.336,2,14.9606,21.6408,,0,15.6972,21.336,2
3,2005,1021,10061,104859,4,0,15.748,21.336,2,15.6972,21.336,,0,15.748,21.336,2
4,2010,1021,10061,104859,4,0,15.8496,21.336,2,15.748,21.336,,0,15.8496,21.336,2
1,1999,1067,10201,114158,4,0,8.4074,10.668,2,,,,0,8.4074,10.668,2
2,2004,1067,10201,114158,4,0,8.6614,10.0584,3,8.4074,10.668,,0,8.6614,10.0584,3
3,2009,1067,10201,114158,4,0,8.763,10.0584,2,8.6614,10.0584,,0,8.763,10.0584,2
4,2014,1067,10201,114158,4,0,8.8138,10.0584,2,8.763,10.0584,,0,8.8138,10.0584,2
2,2000,1021,10061,104861,4,0,10.8204,18.8976,3,10.7188,0,,0,10.8204,18.8976,3
1,1995,1021,10061,104862,4,0,10.922,16.1544,3,,,,0,10.922,16.1544,3
1,1995,1021,10061,104863,4,0,19.558,23.4696,2,,,,0,19.558,23.4696,2
2,2000,1021,10061,104863,4,0,20.2692,20.7264,1,19.558,23.4696,,0,20.2692,20.7264,1
3,2005,1021,10061,104863,4,0,20.7518,20.7264,2,20.2692,20.7264,,0,20.7518,20.7264,2
4,2010,1021,10061,104863,4,0,26.0604,20.4216,2,20.7518,20.7264,,0,26.0604,20.4216,2
1,1995,1021,10061,104864,4,0,12.7508,19.2024,3,,,,0,12.7508,19.2024,3
2,2000,1021,10061,104864,4,0,12.9794,18.288,3,12.7508,19.2024,,0,12.9794,18.288,3
1,1995,1021,10062,104865,4,0,9.8806,14.6304,3,,,,0,9.8806,14.6304,3
1,1995,1021,10062,104866,4,0,13.0556,19.2024,2,,,,0,13.0556,19.2024,2
2,2000,1021,10062,104866,4,0,13.716,19.812,2,13.0556,19.2024,,0,13.716,19.812,2
3,2005,1021,10062,104866,4,0,14.0208,20.4216,3,13.716,19.812,,0,14.0208,20.4216,3
4,2010,1021,10062,104866,4,0,14.0716,21.0312,2,14.0208,20.4216,,0,14.0716,21.0312,2
1,1995,1021,10062,104867,4,0,13.5636,16.764,2,,,,0,13.5636,16.764,2
3,2005,1021,10062,104867,4,0,14.1478,19.812,2,14.0462,0,,0,14.1478,19.812,2
4,2010,1021,10062,104867,4,0,14.3256,20.1168,2,14.1478,19.812,,0,14.3256,20.1168,2
1,1999,1067,10201,114167,4,0,8.1026,10.3632,3,,,,0,8.1026,10.3632,3
2,2004,1067,10201,114167,4,0,8.3312,10.9728,2,8.1026,10.3632,,0,8.3312,10.9728,2
3,2009,1067,10201,114167,4,0,8.4582,9.4488,2,8.3312,10.9728,,0,8.4582,9.4488,2
4,2014,1067,10201,114167,4,0,9.017,11.2776,2,8.4582,9.4488,,0,9.017,11.2776,2
1,1995,1021,10062,104869,4,0,13.8176,16.1544,2,,,,0,13.8176,16.1544,2
4,2010,1021,10062,104869,4,0,14.2748,15.24,2,14.1224,0,,0,14.2748,15.24,2
1,1995,1021,10062,104871,4,0,19.4818,19.2024,1,,,,0,19.4818,19.2024,1
2,2000,1021,10062,104871,4,0,20.3454,20.1168,1,19.4818,19.2024,,0,20.3454,20.1168,1
3,2005,1021,10062,104871,4,0,20.4724,21.336,2,20.3454,20.1168,,0,20.4724,21.336,2
4,2010,1021,10062,104871,4,0,20.8534,21.336,1,20.4724,21.336,,0,20.8534,21.336,1
1,1995,1021,10062,104872,4,0,18.9738,19.5072,1,,,,0,18.9738,19.5072,1
2,2000,1021,10062,104872,4,0,20.3708,21.336,1,18.9738,19.5072,,0,20.3708,21.336,1
3,2005,1021,10062,104872,4,0,20.3708,22.2504,2,20.3708,21.336,,0,20.3708,22.2504,2
4,2010,1021,10062,104872,4,0,21.1074,22.2504,2,20.3708,22.2504,,0,21.1074,22.2504,2
1,1995,1021,10062,104873,4,0,18.796,22.5552,1,,,,0,18.796,22.5552,1
2,2000,1021,10062,104873,4,0,19.5072,23.4696,1,18.796,22.5552,,0,19.5072,23.4696,1
3,2005,1021,10062,104873,4,0,19.7358,23.4696,2,19.5072,23.4696,,0,19.7358,23.4696,2
4,2010,1021,10062,104873,4,0,19.9898,23.4696,2,19.7358,23.4696,,0,19.9898,23.4696,2
1,1995,1021,10062,104874,4,0,15.748,22.2504,2,,,,0,15.748,22.2504,2
2,2000,1021,10062,104874,4,0,16.5862,23.1648,2,15.748,22.2504,,0,16.5862,23.1648,2
4,2010,1021,10062,104874,4,0,17.1196,20.4216,2,16.7894,0,,0,17.1196,20.4216,2
