year,TA9.91,TA1.61,TA2.61,TA4.61,TA3.61,TA7.61,TA10.61,TA9.61,TA6.61,TA12.61,TA5.61,TA6.91,TA3.91,TA2.91,TA5.91,TA10.91,TA7.91,TA1.91,TA4.91,TA8.91,TA6.94,TA1.94,TA4.94,TA5.94,TA2.94,TA11.94,TA12.94,TA3.94,TA8.94,TA7.94,TA8.97,TA7.97,TA12.97,TA3.97,TA11.97,TA4.97,TA5.97,TA6.97,TA9.97,TA10.97,TA1.97,TA2.97,TA12.19,TA11.19,TA2.19,TA6.19,TA3.19,TA5.19,TA7.19,TA4.19,TA10.19,TA8.19,TA12.23,TA11.23,TA2.23,TA3.23,TA4.23,TA1.23,TA9.23,TA8.23,TA7.23,TA6.23,TA5.23,TA10.23,TA4.29,TA5.29,TA12.29,TA10.29,TA8.29,TA13.29,TA2.29,TA3.29,TA1.29,TA2.30,TA5.30,TA3.30,TA1.30,TA7.30,TA9.30,TA10.30,TA11.30,TA6.30,TA4.30,TA8.30
1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.434,NA,NA,NA,NA,NA,NA,0.9125,NA,NA,0.581,NA,NA,NA,NA,0.714,NA,2.608
1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.642,NA,NA,NA,NA,NA,1.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.178,NA,NA,NA,NA,NA,NA,1.298,NA,NA,0.665,NA,NA,NA,NA,1.232,NA,1.036
1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4395,NA,NA,NA,NA,0.908,2.415,0.633,NA,NA,NA,NA,NA,2.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54,NA,2.033,NA,NA,NA,NA,1.933,NA,NA,1.033,NA,1.606,NA,NA,1.26,NA,1.694
1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4785,NA,NA,NA,NA,0.988,1.8235,0.889,NA,NA,NA,NA,NA,3.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91,NA,2.556,NA,NA,NA,NA,1.246,NA,NA,1.119,2.487,1.167,NA,NA,1.199,NA,1.898
1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.194,NA,NA,NA,NA,0.3485,0.6845,0.107,NA,NA,NA,NA,NA,3.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.449,NA,2.369,NA,NA,NA,NA,1.182,NA,NA,0.842,1.925,0.741,NA,NA,0.838,NA,1.541
1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.226,NA,NA,NA,NA,1.0815,1.467,0.7855,NA,NA,NA,NA,NA,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.724,2.822,2.077,NA,NA,NA,NA,0.9015,NA,NA,1.269,2.195,1.123,NA,NA,1.006,NA,1.524
1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.105,NA,NA,NA,NA,0.5585,1.151,0.9985,NA,NA,NA,NA,NA,2.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,2.243,1.576,NA,NA,NA,NA,0.4425,NA,NA,0.508,1.837,0.992,NA,NA,0.798,NA,0.993
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.795,NA,NA,NA,1.052,NA,NA,NA,1.097,NA,NA,NA,NA,1.163,1.7535,1.41,NA,NA,NA,NA,NA,1.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.281,2.425,1.787,NA,NA,NA,NA,1.0185,NA,NA,0.668,1.134,1.189,NA,NA,0.96,NA,0.499
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,NA,NA,NA,1.673,NA,NA,NA,0.8825,NA,NA,NA,NA,0.6765,1.1955,0.9505,NA,NA,NA,NA,NA,1.831,NA,NA,NA,NA,NA,NA,NA,1.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.967,2.337,1.932,NA,NA,NA,NA,1.2165,NA,1.426,0.565,1.534,0.867,NA,NA,0.395,NA,0.7365
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619,NA,NA,NA,0.646,NA,NA,NA,0.8825,NA,NA,NA,NA,0.4155,1.055,0.7665,NA,NA,NA,NA,NA,1.69,NA,NA,NA,NA,0.973,NA,NA,1.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.808,2.233,2.838,2.442,2.299,NA,NA,1.6235,NA,1.073,NA,1.06,0.444,1.178,0.869,NA,NA,0.539,NA,1.1315
