year,TA9.91,TA1.61,TA2.61,TA4.61,TA3.61,TA7.61,TA10.61,TA9.61,TA6.61,TA12.61,TA5.61,TA6.91,TA3.91,TA2.91,TA5.91,TA10.91,TA7.91,TA1.91,TA4.91,TA8.91,TA6.94,TA1.94,TA4.94,TA5.94,TA2.94,TA11.94,TA12.94,TA3.94,TA8.94,TA7.94,TA8.97,TA7.97,TA12.97,TA3.97,TA11.97,TA4.97,TA5.97,TA6.97,TA9.97,TA10.97,TA1.97,TA2.97,TA12.19,TA11.19,TA2.19,TA6.19,TA3.19,TA5.19,TA7.19,TA4.19,TA10.19,TA8.19,TA12.23,TA11.23,TA2.23,TA3.23,TA4.23,TA1.23,TA9.23,TA8.23,TA7.23,TA6.23,TA5.23,TA10.23,TA4.29,TA5.29,TA12.29,TA10.29,TA8.29,TA13.29,TA2.29,TA3.29,TA1.29,TA2.30,TA5.30,TA3.30,TA1.30,TA7.30,TA9.30,TA10.30,TA11.30,TA6.30,TA4.30,TA8.30
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.915,1.276,1.463,1.3915,NA,2.188,NA,1.8655,1.836,0.745,1.386,NA,1.712,1.3695,1.816,1.597,1.763,2.571,1.257,0.832,1.315,0.774,1.563,NA,NA,NA,NA,1.298,NA,NA,1.073,0.858,1.192,NA,2.17,0.965,3.332,NA,1.585,3.331,NA,NA,NA,0.816,NA,1.6745,1.1,1.424,1.466,2.409,1.745,1.326,1.025,1.427,1.374,1.998,2.345,1.601,0.798,NA,0.768,NA,1.8675,NA,1.878,0.663,1.632,0.604,1.311,0.805,0.767,1.212,2.3485
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.102,1.055,0.833,1.3245,NA,1.392,1.37,1.37,0.748,0.723,1.178,NA,1.765,0.9595,1.2995,1.2545,1.636,2.293,1.351,0.7395,1.0235,0.656,1.172,NA,NA,NA,NA,0.9815,NA,NA,1.098,0.819,0.9255,NA,1.619,0.8055,2.2135,NA,0.994,2.817,2.276,NA,NA,1.137,NA,2.152,1.7795,1.8485,0.79,3.125,1.482,1.975,1.584,1.225,0.887,1.844,2.827,1.548,0.881,NA,0.669,NA,1.5635,NA,1.529,0.564,1.728,0.647,1.057,0.923,0.802,1.166,1.5735
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.429,1.0435,0.643,1.746,NA,1.279,1.753,1.374,0.835,0.4845,1.324,NA,1.484,1.551,2.1595,1.3365,1.5345,2.0905,1.29,0.706,1.319,0.713,1.555,NA,NA,NA,NA,1.616,NA,NA,1.341,0.745,1.127,NA,1.386,0.9065,1.962,NA,0.874,1.397,2.523,NA,NA,1.9,NA,2.9425,2.375,1.9525,1.861,3.335,1.648,3.491,2.086,1.568,1.11,2.291,2.702,1.547,0.665,NA,1.058,NA,1.81,NA,1.367,0.578,1.872,0.622,1.295,0.654,0.931,0.939,1.6135
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.243,1.4845,0.856,1.5785,NA,1.589,2.045,1.6805,1.317,0.8135,1.825,NA,1.754,1.9225,2.1415,1.3685,1.439,2.025,1.974,0.9445,1.235,0.849,2.038,NA,NA,NA,NA,1.5825,NA,NA,1.395,1.011,1.086,NA,2.155,1.165,2.735,NA,1.18,1.029,1.892,NA,NA,1.951,NA,2.707,2.4875,2.0225,2.576,3.2795,1.878,2.469,1.8865,1.172,0.713,1.998,1.678,1.445,0.554,NA,0.5945,NA,1.1725,NA,1.399,0.564,2.038,0.838,1.682,0.71,0.579,0.918,1.93
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.793,1.9445,1.502,2.029,NA,1.844,2.35,1.805,2.085,0.7955,1.868,NA,1.645,1.899,2.3155,1.5605,1.992,1.9585,2.165,0.635,1.2635,0.342,1.2395,NA,NA,NA,NA,1.65,0.957,NA,1.242,1.012,1.2185,NA,1.733,0.9585,2.1395,NA,1.099,0.959,1.845,1.146,NA,0.589,NA,1.4695,1.618,1.685,1.68,1.5465,0.803,1.674,1.303,0.663,0.491,1.112,0.939,0.86,0.218,NA,0.3125,NA,1.1675,NA,1.255,0.437,1.793,0.8,1.423,0.773,0.585,0.737,1.753
1941,NA,NA,NA,NA,NA,NA,NA,0.636,NA,NA,NA,1.291,1.08,1.124,1.4225,NA,1.217,1.583,1.33,1.649,0.4705,1.125,NA,1.286,1.0905,1.5315,0.949,1.0105,1.524,1.433,0.3755,0.7695,0.556,0.866,NA,NA,NA,NA,0.869,0.685,NA,0.873,0.967,1.031,NA,1.367,0.9875,2.0965,0.817,0.754,0.855,1.564,2.687,NA,1.33,NA,3.047,2.3175,2.466,3.573,2.94,1.537,2.327,2.113,0.843,0.698,1.194,1.772,1.209,0.37,NA,0.689,NA,0.863,NA,1.07,0.36,1.052,0.621,0.973,0.744,0.444,0.8135,1.374
1942,1.155,NA,NA,NA,NA,NA,NA,0.938,NA,NA,NA,1.204,0.91,1.354,1.511,NA,1.53,1.728,1.706,1.842,0.6395,1.003,NA,0.895,1.245,1.3535,1.0085,0.887,1.586,1.097,0.3525,0.842,0.624,0.68,NA,NA,NA,NA,1.0705,0.665,NA,0.945,0.933,0.98,NA,1.936,0.927,1.8165,0.965,0.713,0.919,1.973,1.905,NA,0.944,NA,1.5605,1.3915,1.7455,2.1215,1.8465,1.453,1.851,1.8225,1.106,0.904,2.172,1.725,1.177,0.634,NA,0.4795,NA,0.8415,NA,0.974,0.543,0.721,0.632,1.227,0.954,0.385,0.5585,1.347
1943,0.946,NA,NA,1.495,NA,NA,NA,1.664,0.95,NA,NA,1.131,0.6555,1.016,1.3595,NA,1.491,1.357,1.551,1.331,0.941,1.144,NA,0.921,1.1235,1.2055,0.9275,0.797,1.3905,1.241,0.673,1.2535,0.7,1.2885,NA,1.084,NA,NA,1.404,0.918,NA,1.083,0.766,1.0435,NA,1.765,0.7675,2.01,0.914,0.642,0.998,1.6315,2.029,NA,0.756,NA,1.832,2.38,2.323,2.417,2.1735,1.367,2.506,2.247,1.593,0.935,1.369,1.696,0.889,0.54,NA,0.5075,NA,1.3105,NA,1.433,0.684,0.862,0.674,0.764,1.18,0.758,0.652,1.6095
1944,1.051,NA,NA,2.433,NA,NA,NA,2.092,1.785,NA,NA,1.499,1.4505,1.615,1.7925,NA,1.931,2.119,2.0785,1.799,1.0805,2.006,NA,2.049,1.718,1.972,1.394,1.0675,2.0165,1.7145,0.6695,1.0795,0.741,1.56,NA,0.965,NA,NA,1.2725,0.752,NA,1.355,1.249,1.3655,NA,1.897,0.9875,2.216,1.328,0.959,0.856,1.654,2.422,NA,1.178,NA,2.3425,2.2715,2.7505,3.185,2.427,1.246,2.496,2.4995,1.684,0.682,1.5145,2.069,1.272,0.252,2.052,0.674,NA,2.452,NA,1.424,0.741,0.873,0.539,0.696,1.021,0.618,0.791,1.7625
1945,0.987,NA,NA,2.8145,NA,NA,NA,2.61,2.109,NA,NA,1.229,1.479,1.167,2.0585,NA,1.713,1.897,1.888,2.089,0.7085,2.256,NA,1.3505,1.7675,2.1265,1.8575,1.226,2.215,1.6495,0.6425,1.543,1.134,1.6605,1.276,1.086,NA,NA,1.506,0.733,NA,1.536,1.195,1.256,NA,1.596,1.2495,2.1335,1.474,1.284,0.702,1.5715,2.346,NA,0.458,NA,1.983,2.2345,1.988,2.9875,2.904,1.372,2.716,2.498,1.441,0.794,2.0815,2.171,1.748,0.504,1.658,0.6415,NA,1.8,NA,1.694,0.677,1.475,0.629,0.741,0.619,0.865,0.7835,1.208
1946,0.779,NA,NA,1.7615,NA,NA,NA,2.23,1.316,NA,NA,1.268,1.108,1.412,1.6685,NA,1.928,2.112,2.0575,1.978,0.6785,1.975,NA,1.331,1.786,2.1185,1.442,1.203,1.8705,1.3085,0.549,0.8305,0.563,1.169,0.825,0.698,0.866,NA,0.7985,0.626,NA,0.7705,1.209,1.2965,NA,2.18,1.067,2.2405,1.199,1.149,0.964,1.793,0.991,NA,0.971,2.587,0.781,1.2935,1.4745,1.666,1.533,0.93,1.495,1.672,1.584,0.56,1.1005,1.739,1.338,0.303,1.214,0.5825,NA,1.7415,NA,1.902,0.487,1.532,0.681,0.762,0.863,0.854,0.785,1.4035
1947,0.521,NA,NA,1.709,NA,NA,NA,2.943,1.319,NA,NA,0.697,0.5605,0.87,0.9725,NA,1.235,1.345,1.4775,0.7215,0.2295,0.616,NA,0.724,0.6615,1.134,0.6915,0.716,0.6545,0.9065,0.663,1.0965,0.949,1.3025,0.9755,0.971,1.036,NA,0.9295,0.69,NA,1.031,0.798,0.698,NA,2.116,0.671,1.3975,0.879,0.921,0.615,1.395,1.118,NA,0.817,1.78,0.748,1.889,2.077,2.8165,1.568,0.836,1.587,1.7655,1.509,0.988,1.273,1.874,1.676,0.28,1.491,0.61,NA,1.7075,NA,1.49,0.727,1.291,0.828,0.933,0.531,1.044,0.698,1.4715
1948,0.766,NA,NA,1.7265,NA,NA,NA,3.259,4.27,NA,NA,1.077,0.7765,0.918,1.241,NA,1.771,1.396,1.8845,1.1045,0.42,0.838,1.703,1.1555,0.574,1.101,0.707,0.8865,1.2475,1.456,0.72,0.837,0.716,1.1925,0.6875,0.667,0.727,NA,0.9415,0.789,NA,0.8565,0.642,0.692,NA,1.277,0.571,1.449,0.67,0.76,0.534,1.699,1.533,NA,1.139,2.122,1.787,2.218,2.655,2.582,2.692,1.487,2.078,2.3445,0.668,0.651,0.61,1.301,0.588,0.214,0.913,0.383,NA,0.919,NA,1.902,0.614,1.747,1.109,1.244,0.861,1.12,0.9315,1.5815
1949,0.316,NA,NA,2.2805,NA,NA,NA,3.172,3.208,2.081,1.151,0.681,0.5975,0.411,1.18,NA,1.06,1.063,1.441,0.8435,0.1395,0.838,1.439,1.0195,0.367,0.922,0.4575,0.5495,0.628,1.1035,0.272,0.5275,0.425,1.2345,0.4055,0.465,0.296,NA,0.792,0.481,NA,0.46,0.62,0.8485,NA,1.035,0.6495,1.1005,0.418,0.501,0.328,1.631,1.438,NA,1.122,2.628,2.3285,2.144,1.996,2.714,2.6385,1.225,2.693,1.9595,0.869,0.967,1.0505,2.116,1.35,0.35,1.222,0.62,NA,0.094,NA,1.037,0.367,0.951,0.453,0.725,0.043,0.422,0.57,1.1295
1950,1.314,NA,2.57,2.205,NA,NA,NA,2.578,2.985,1.166,1.5105,1.089,0.8515,0.888,1.536,NA,1.529,1.735,1.994,1.4985,0.602,0.906,1.303,0.932,0.6615,1.0305,0.7685,0.6425,1.4225,1.651,0.356,0.639,0.557,1.1305,0.5345,0.686,0.557,NA,1.2435,0.6535,0.866,0.5985,0.783,1.0105,NA,1.375,0.687,1.5885,0.736,0.597,0.389,2.015,1.009,NA,0.946,2.2945,1.397,1.5395,1.5725,1.9965,1.322,1.3,2.096,1.2285,0.587,0.539,0.903,1.251,0.567,0.289,1.214,0.3725,NA,1.2835,NA,2.142,0.451,1.05,0.788,0.885,0.63,0.746,0.725,1.794
1951,0.712,NA,2.186,1.5165,3.7245,NA,NA,2.528,2.489,1.17,1.3025,0.768,0.469,0.484,0.9825,NA,0.942,0.907,1.1285,0.9715,0.548,0.588,0.859,0.7595,0.4635,0.6525,0.6445,0.518,0.7515,1.0925,0.2715,0.6675,0.417,0.6985,0.669,0.583,0.624,NA,0.6085,0.345,0.777,0.52,0.374,0.745,NA,0.995,0.4655,1.0245,0.479,0.557,0.25,1.362,0.819,NA,0.866,2.5995,1.422,1.3005,1.694,2.621,1.36,1.173,1.308,1.297,0.745,0.54,0.6105,0.699,0.542,0.056,0.96,0.215,NA,1.336,NA,1.125,0.254,0.583,0.336,0.317,0.548,0.561,0.432,1.365
1952,0.417,NA,2.977,1.778,3.538,NA,NA,3.156,2.498,1.852,1.5855,0.587,0.531,0.657,1.0835,NA,0.957,0.659,1.491,0.9645,0.404,1.106,1.275,1.0715,0.589,0.656,0.893,0.8465,0.9235,1.0675,0.4535,0.895,0.633,0.9625,0.614,0.645,0.646,NA,1,0.359,0.623,0.7735,0.642,0.9025,NA,1.03,0.7105,1.4095,0.618,0.581,0.752,1.807,1.3,NA,1.176,2.1495,2.4165,1.904,2.4655,3.4025,1.655,1.946,2.138,1.858,1.252,0.868,1.062,1.536,0.794,0.425,1.467,0.385,NA,1.6145,NA,1.552,0.402,1.019,0.459,0.601,0.777,0.607,0.6235,1.0865
1953,0.418,NA,1.507,1.6145,2.3525,NA,1.711,2.627,2.678,1.394,1.3225,0.772,0.9805,1.007,1.05,NA,1.03,1.026,1.376,1.024,0.4785,0.753,1.195,0.693,0.5505,0.692,0.7345,0.5415,1.004,1.007,0.5225,0.764,0.585,1.1335,0.5955,0.634,0.704,NA,1.232,0.6315,0.6605,0.694,0.506,0.764,NA,1.188,0.7545,1.3485,0.574,0.768,0.393,1.6665,1.483,NA,1.334,2.0115,2.3185,2.358,2.295,3.763,1.655,2.1795,2.306,1.9045,0.907,0.77,0.9135,1.171,0.88,0.386,1.11,0.399,NA,1.6315,NA,1.661,0.662,1.641,0.819,0.771,0.858,0.758,1.1685,1.3515
1954,0.497,NA,1.708,1.737,2.566,NA,1.713,2.028,3.199,1.666,1.2725,0.476,0.843,0.635,0.899,NA,1.141,0.825,1.311,0.98,0.4515,0.401,0.528,0.603,0.3575,0.5815,0.5965,0.427,0.632,0.748,0.4955,0.801,0.506,0.647,0.603,0.433,0.763,NA,0.917,0.6105,0.5365,0.718,0.34,0.4675,NA,0.557,0.423,0.81,0.457,0.422,0.324,1.484,1.264,NA,1.347,2.2605,1.8905,1.912,1.6575,2.8635,1.593,1.8435,2.009,1.178,0.933,0.968,1.035,1.759,0.742,0.36,1.206,0.3355,NA,1.031,NA,1.054,0.452,1.834,0.428,0.8,0.747,0.778,0.735,1.2905
1955,0.338,NA,2.132,2.054,1.772,NA,2.286,2.738,3.66,1.531,1.7675,0.278,0.636,0.54,0.824,NA,0.586,0.608,0.8695,0.7255,0.2,0.551,0.463,0.733,0.282,0.3625,0.486,0.3315,0.548,0.5425,0.4655,0.7835,0.345,0.5695,0.437,0.414,0.909,NA,0.693,0.437,0.5965,0.551,0.267,0.558,NA,0.465,0.4925,0.941,0.485,0.42,0.374,1.588,1.864,NA,1.449,2.2575,2.338,1.998,1.9075,3.1715,1.2845,1.8865,2.347,1.076,1.217,1.028,1.3715,1.888,1.043,0.623,1.802,0.499,NA,1.017,NA,0.698,0.233,1.586,0.346,0.531,0.813,0.549,0.5345,1.2705
1956,0.391,2.328,2.625,1.8615,1.9345,NA,1.46,2.606,2.797,0.964,1.2665,0.536,0.7305,0.435,0.9325,NA,0.778,0.661,1.245,0.954,0.201,0.956,0.674,0.789,0.543,0.452,0.56,0.387,0.87,0.814,0.6445,0.994,0.465,1.044,0.5725,0.392,0.93,NA,0.969,0.483,0.542,0.643,0.417,0.744,NA,0.599,0.525,1.305,0.601,0.373,0.169,2.017,0.771,NA,1.528,2.1165,1.633,1.678,1.6665,2.566,1.4735,1.185,2.154,1.865,1.279,1.094,1.479,2.243,1.271,0.621,1.564,0.405,NA,0.773,NA,0.985,0.317,1.138,0.209,0.714,1.054,0.676,0.359,1.5545
1957,1.024,1.733,2.695,1.573,2.358,NA,1.249,1.872,2.391,1.117,0.9095,0.888,0.9855,0.794,1.1335,NA,1.349,1.061,1.925,1.476,0.7755,1.645,1.011,0.949,0.94,1.1255,1.2515,0.6605,1.4655,1.154,0.6205,0.6735,0.507,1.003,0.6195,0.5945,0.656,NA,1.0515,0.535,0.654,0.632,0.506,0.834,NA,0.887,0.687,1.1265,0.653,0.814,0.478,1.9635,1.448,NA,1.357,2.2105,1.6375,1.881,1.838,3.08,1.289,1.4445,2.069,1.483,0.832,0.35,0.8435,0.943,0.456,0.182,1.017,0.1505,NA,1.213,NA,1.241,0.705,1.505,0.365,0.921,0.993,0.844,0.7425,1.6675
1958,1.221,0.675,1.585,0.7745,1.018,NA,0.691,0.717,1.014,0.79,0.4375,0.936,0.877,0.666,0.891,NA,1.101,1.031,1.57,0.9215,0.4895,1.064,1.534,0.783,0.8255,1.2465,1.0705,1.043,1.128,1.203,0.4515,0.693,0.684,0.662,0.466,0.531,0.566,NA,0.6035,0.46,0.5595,0.5485,0.533,0.594,NA,0.592,0.496,0.9965,0.535,0.528,0.373,1.4775,0.212,NA,0.469,1.086,0.946,0.9985,0.236,1.1995,0.437,0.8445,0.676,0.3,0.744,0.586,0.7125,0.694,0.554,0.163,0.84,0.155,NA,1.194,NA,0.617,0.289,0.771,0.177,0.539,0.716,0.649,0.726,1.177
1959,1.023,0.825,2.144,0.7825,1.7055,NA,0.656,0.527,1.296,0.921,0.4285,0.714,0.7245,0.632,0.826,NA,0.676,0.873,1.1885,0.735,0.4805,1.189,1.124,0.542,0.617,0.825,0.708,0.6705,0.771,0.806,0.5205,0.9095,0.649,0.765,0.6035,0.3465,0.521,NA,0.693,0.511,0.6235,0.631,0.378,0.6045,NA,0.799,0.262,0.8415,0.555,0.522,0.265,1.673,1.053,NA,1.123,1.7815,0.9035,0.9095,0.3915,1.387,0.554,1.0225,0.433,0.6095,0.854,0.791,0.977,1.165,0.988,0.219,1.561,0.277,NA,1.093,NA,1.109,0.367,0.468,0.358,0.825,0.611,0.697,0.7915,1.219
1960,1.112,1.824,1.971,1.5755,2.2405,NA,0.946,1.774,2.459,1.208,1.0775,1.397,1.3365,0.707,1.331,NA,1.047,1.234,1.6905,1.13,0.8255,1.189,1.52,0.823,0.79,1.2635,1.227,1.094,1.478,0.7935,0.6025,1.0065,0.741,0.859,0.781,0.4635,0.746,NA,0.917,0.5925,0.802,0.631,0.606,0.897,NA,1.049,0.68,1.3255,0.739,0.705,0.542,1.8865,1.493,NA,2.19,1.9765,1.534,1.878,1.458,2.4425,1.525,1.3375,1.954,1.513,1.068,0.92,0.9175,1.006,0.896,0.202,1.513,0.313,NA,1.389,NA,1.391,0.458,0.621,0.327,0.808,1.007,0.702,0.962,1.9095
1961,1.46,1.896,1.774,1.9185,2.4765,NA,1.057,2.064,2.238,1.715,1.5065,1.787,1.654,0.879,1.514,NA,1.063,1.297,1.627,1.7155,0.6435,1.328,1.525,0.8295,0.7835,1.4225,1.1565,0.987,1.5005,0.8815,0.815,1.2865,0.874,1.344,1.055,0.6855,0.751,0.845,1.4525,0.6995,0.9165,0.847,0.487,0.922,NA,0.833,0.7285,1.27,0.658,0.656,0.31,1.7035,1.288,NA,1.623,2.392,2.0005,2.034,1.6295,2.1245,1.6985,1.5965,2.471,1.4675,1.116,0.692,1.1635,1.146,0.622,0.298,1.291,0.194,NA,1.3535,NA,1.548,0.508,1.167,0.491,1.075,1.049,0.895,1.093,1.86
1962,1.388,2.222,2.267,2.298,2.475,NA,1.262,2.412,2.524,1.842,1.4245,1.11,1.4075,0.949,1.3645,NA,0.937,1.1,1.3485,1.5685,0.5315,1.401,1.2755,0.7665,0.955,1.257,0.8975,1.055,1.5765,0.625,0.526,0.8875,0.607,0.932,0.852,0.5795,0.784,0.698,1.028,0.352,0.673,0.747,0.416,1.0075,NA,0.811,0.8135,1.093,0.669,0.805,0.382,1.8835,1.352,NA,1.7,2.175,1.7955,1.685,1.9325,2.1105,0.7795,1.126,1.879,1.2755,0.726,0.597,1.2365,1.501,0.586,0.324,1.316,0.2735,NA,2.0895,NA,1.321,0.289,0.709,0.301,0.593,1.066,0.789,0.8485,1.5945
1963,0.866,3.005,2.529,2.6685,2.8515,NA,1.415,2.214,2.814,1.517,1.391,0.944,1.4135,0.598,1.0885,NA,0.753,1.384,1.571,1.0975,0.2365,0.825,1.167,0.5385,0.9255,1.2005,0.698,0.7775,0.82,0.656,0.5245,0.676,0.637,0.839,0.7005,0.429,0.71,0.591,0.826,0.2895,0.7515,0.702,0.401,0.8805,NA,0.553,0.6785,1.252,0.522,0.634,0.287,1.8775,1.095,NA,1.057,1.8765,1.196,1.2325,2.0845,2.1285,1.1285,0.747,1.644,1.4625,0.915,0.563,1.236,1.28,0.902,0.275,0.84,0.238,NA,2.028,NA,0.835,0.176,0.748,0.362,0.444,0.872,0.541,0.873,1.126
1964,1.185,2.931,2.494,2.5865,2.9425,NA,1.523,2.25,2.431,1.468,1.278,0.436,0.92,0.569,0.734,NA,0.889,0.759,1.5545,0.765,0.3585,0.696,0.934,0.841,0.755,0.7335,0.685,0.604,0.5925,0.5805,0.551,0.9505,0.527,1.0875,0.813,0.661,0.738,0.556,0.8585,0.469,0.895,0.8105,0.388,0.894,NA,0.644,0.7385,1.0775,0.651,0.605,0.372,1.913,1.364,NA,1.231,2.378,1.5235,1.3115,1.662,1.948,0.8745,1.1305,1.583,1.0845,0.578,0.571,0.9615,1.332,0.354,0.169,0.597,0.1785,NA,1.739,NA,0.908,0.24,0.908,0.481,0.489,0.888,0.598,1.0755,1.236
1965,0.407,0.731,2.123,1.816,2.4265,NA,0.775,1.297,0.91,1.059,0.5375,0.381,0.4335,0.223,0.7135,NA,0.222,0.758,1.17,0.7065,0.0775,0.485,0.676,0.4375,0.4055,0.6335,0.5385,0.34,0.407,0.4665,0.9765,1.139,0.741,1.467,0.673,0.687,1.239,0.755,1.1895,0.7105,1.1525,0.917,0.201,0.5325,NA,0.317,0.6695,0.5655,0.302,0.255,0.042,1.486,0.878,NA,1.0215,1.257,1.693,1.173,1.062,1.834,0.458,1.0605,1.096,0.782,0.915,0.535,1.078,1.564,1.071,0.207,0.713,0.234,NA,1.5545,NA,1.11,0.233,0.539,0.542,0.388,0.852,0.695,1.078,1.213
1966,0.376,1.841,1.763,1.7945,2.3915,NA,0.86,1.23,1.436,0.976,0.881,0.349,0.3655,0.301,0.7325,NA,0.27,0.983,0.6595,0.609,0.069,0.746,0.8055,0.493,0.6035,0.6225,0.5945,0.6275,0.55,0.9305,0.8955,0.877,0.751,1.0835,0.6385,0.7805,0.714,0.725,1.146,0.678,0.7545,0.74,0.279,0.718,NA,0.54,0.4525,0.684,0.427,0.498,0.155,1.4815,1.733,NA,1.231,2.0935,1.9615,1.199,1.2325,1.945,0.709,1.2805,1.266,0.9595,0.721,0.663,0.9735,1.545,1.352,0.213,0.483,0.2855,NA,1.47,NA,1.358,0.402,0.822,0.729,0.454,0.72,1.078,1.4035,1.455
1967,0.278,1.809,2.485,2.317,2.0575,NA,0.867,1.079,1.756,0.96,1.004,0.333,0.302,0.229,0.3185,NA,0.198,0.46,0.514,0.5765,0.0735,0.216,0.366,0.2745,0.19,0.484,0.599,0.267,0.2975,0.4855,0.706,0.738,0.646,1.056,0.5295,0.638,0.619,0.627,1.0275,0.603,0.6045,0.5995,0.335,0.596,NA,0.568,0.4155,1.018,0.547,0.55,0.602,1.511,0.634,0.381,0.388,0.457,1.0995,0.5345,0.5865,0.944,0.2985,0.743,0.443,0.2575,0.455,0.325,0.604,0.643,0.711,0.168,0.381,0.21,0.595,1.177,NA,0.87,0.414,0.71,0.553,0.653,0.681,0.853,1.058,1.0475
1968,0.025,2.349,2.814,2.5705,3.065,1.472,1.494,1.694,1.84,0.918,1.349,0.048,0.07,0.103,0.077,NA,0.103,0.11,0.0715,0.156,0.0325,0.049,0.118,0.0295,0.1435,0.1245,0.2275,0.0405,0.09,0.051,0.7175,1.045,0.774,1.334,0.7165,0.594,0.8,0.899,1.0455,0.466,0.6615,0.7935,0.099,0.358,NA,0.253,0.205,0.2135,0.446,0.212,0.196,0.808,0.063,0,0.042,0.0365,0.155,0.0825,0.028,0.08,0.0865,0.0965,0.074,0.0355,0.285,0.15,0.3785,0.244,0.415,0.146,0.476,0.103,0.155,0.699,NA,0.707,0.169,0.611,0.457,0.412,0.403,0.565,0.716,0.648
1969,0.371,0.92,2.183,1.1905,2.305,0.7185,0.544,1.111,0.989,0.879,0.5745,0.428,0.2855,0.34,0.509,NA,0.469,0.7495,0.5425,0.403,0.0945,0.14,0.045,0.2335,0.1515,0.327,0.411,0.1855,0.3115,0.483,0.5435,0.442,0.473,0.757,0.49,0.5165,0.526,0.662,0.7505,0.5745,0.5565,0.4905,0,0.016,NA,0,0,0,0.082,0,0.027,0.079,0.286,0.381,0.186,0.8725,0.9015,0.6155,0.698,0.6085,0.342,0.536,0.347,0.4505,0.391,0.207,0.3195,0.319,0.206,0.134,0.238,0.127,0.071,0.2665,NA,0.429,0.035,0.148,0.371,0.117,0.208,0.191,0.3235,0.107
1970,0.478,1.28,1.987,1.569,1.856,0.846,0.571,0.813,1.141,0.945,0.764,0.159,0.3225,0.356,0.354,NA,0.246,0.4045,0.2685,0.294,0.135,0.122,0.1095,0.215,0.189,0.2495,0.3835,0.1905,0.1975,0.1775,0.458,0.6655,0.33,0.5815,0.491,0.3185,0.597,0.557,0.539,0.327,0.6585,0.5205,0.175,0.3435,NA,0.318,0.2625,0.414,0.322,0.233,0.648,0.2665,0.507,0.677,0.582,1.4945,1.12,0.3355,0.78,1.09,0.319,0.4965,0.401,0.7885,0.513,0.577,0.698,0.777,0.919,0.359,0.563,0.218,0.221,0.5875,NA,0.344,0.106,0.263,0.342,0.148,0.186,0.401,0.703,0.246
1971,0.473,1.639,2.14,2.258,2.4095,1.8035,1.376,1.994,2.341,1.3,1.295,0.349,0.545,0.637,0.772,NA,0.435,0.568,0.845,0.825,0.1805,0.18,0.1825,0.21,0.2135,0.38,0.8195,0.173,0.479,0.352,0.6945,0.666,1.011,1.0425,0.7095,0.638,0.809,1.037,0.941,0.519,0.802,0.7875,0.417,0.782,NA,0.433,0.413,0.855,0.343,0.529,1.096,0.652,1.248,1.247,1.1735,1.766,1.7215,1.23,1.425,1.964,1.429,1.1805,1.313,0.797,0.461,0.578,0.8815,0.85,1.079,0.253,0.592,0.2575,0.568,1.0935,NA,0.567,0.381,0.475,0.62,0.341,0.355,0.656,1.033,0.786
1972,0.667,2.099,1.881,2.812,2.638,1.922,1.583,2.543,1.919,1.67,1.716,0.572,0.8605,0.704,1.075,1.249,0.944,0.8185,1.638,1.525,0.2095,0.465,0.15,0.2475,0.3135,0.645,1.256,0.387,0.7215,0.844,0.645,0.708,0.806,0.9485,0.7965,0.7235,0.763,0.698,0.851,0.4775,0.706,0.7055,0.208,0.656,NA,0.347,0.3265,0.6865,0.369,0.309,0.717,0.888,1.237,1.226,1.292,1.244,1.517,1.0385,1.2645,1.465,1.5295,1.5135,1.241,0.9205,0.555,0.523,0.639,0.732,0.714,0.264,0.379,0.1705,0.643,1.2955,NA,0.879,0.48,0.981,0.669,0.611,0.517,0.846,1.0555,1.0275
1973,0.439,1.865,1.222,1.786,1.57,1.585,1.022,1.679,1.079,0.608,1.089,0.333,0.66,0.663,0.6515,0.338,0.562,0.674,0.7035,1.155,0.035,0.401,0.1455,0.1945,0.197,0.595,0.4405,0.28,0.453,0.28,0.795,0.8945,0.681,0.763,0.644,0.729,0.896,0.493,0.762,0.4975,0.8545,0.7285,0.285,0.3575,NA,0.213,0.131,0.4565,0.33,0.211,0.38,0.7105,0.949,0.632,1.089,0.6345,1.745,0.76,1.0255,0.994,1.429,1.2675,0.877,0.302,0.52,0.459,0.5265,0.612,0.397,0.146,0.363,0.1345,0.445,1.693,NA,1.229,0.569,0.757,0.726,0.616,0.383,0.908,1.0455,1.0815
