site,psp,year,ndvi.max
1021,10061,1995,0.911649036
1021,10061,1998,0.836153449
1021,10061,1999,0.877054214
1021,10061,2000,0.852947783
1021,10061,2001,0.873358149
1021,10061,2002,0.871958998
1021,10061,2003,0.807120958
1021,10061,2004,0.849588989
1021,10061,2005,0.808762601
1021,10061,2006,0.750054748
1021,10061,2007,0.805509786
1021,10061,2008,0.821582618
1021,10061,2009,0.798645709
1021,10061,2010,0.748556678
1021,10061,2011,0.764407759
1021,10061,2012,0.802457223
1021,10061,2013,0.830988908
1021,10061,2014,0.798087646
1021,10061,2015,0.839873948
1021,10061,2016,0.820069351
1021,10061,2017,0.838226426
1021,10061,2018,0.839809915
1021,10062,1995,0.878454926
1021,10062,1998,0.820835431
1021,10062,1999,0.857497702
1021,10062,2000,0.84923807
1021,10062,2001,0.830205572
1021,10062,2002,0.876443537
1021,10062,2003,0.791706917
1021,10062,2004,0.822987537
1021,10062,2005,0.77950211
1021,10062,2006,0.781263179
1021,10062,2007,0.77678762
1021,10062,2008,0.832409139
1021,10062,2009,0.786067556
1021,10062,2010,0.746293626
1021,10062,2011,0.74014176
1021,10062,2012,0.802683503
1021,10062,2013,0.784783187
1021,10062,2014,0.785279139
1021,10062,2015,0.818753174
1021,10062,2016,0.7993125
1021,10062,2017,0.805419146
1021,10062,2018,0.809514456
1021,10063,1995,0.893942816
1021,10063,1998,0.855471854
1021,10063,1999,0.862367874
1021,10063,2000,0.855355873
1021,10063,2001,0.833988813
1021,10063,2002,0.864181125
1021,10063,2003,0.809467994
1021,10063,2004,0.837082917
1021,10063,2005,0.787013699
1021,10063,2006,0.739526917
1021,10063,2007,0.770435134
1021,10063,2008,0.823186051
1021,10063,2009,0.783305003
1021,10063,2010,0.750038859
1021,10063,2011,0.725848178
1021,10063,2012,0.796797372
1021,10063,2013,0.814726457
1021,10063,2014,0.801025028
1021,10063,2015,0.851343822
1021,10063,2016,0.814037221
1021,10063,2017,0.831862738
1021,10063,2018,0.819758311
1031,10091,1986,0.829615571
1031,10091,1987,0.828797593
1031,10091,1994,0.823292059
1031,10091,1995,0.838102383
1031,10091,1996,0.776628402
1031,10091,1997,0.737656819
1031,10091,1999,0.862156142
1031,10091,2000,0.836534995
1031,10091,2001,0.839045126
1031,10091,2002,0.851588341
1031,10091,2003,0.818936262
1031,10091,2004,0.762447211
1031,10091,2005,0.66484106
1031,10091,2006,0.718030007
1031,10091,2007,0.732646792
1031,10091,2008,0.735966051
1031,10091,2009,0.688503772
1031,10091,2010,0.75744677
1031,10091,2011,0.724346703
1031,10091,2012,0.754607664
1031,10091,2013,0.747801064
1031,10091,2014,0.761194048
1031,10091,2015,0.726444196
1031,10091,2016,0.749454484
1031,10091,2017,0.772903589
1031,10091,2018,0.732361963
1031,10092,1986,0.831372292
1031,10092,1987,0.820072583
1031,10092,1994,0.810938537
1031,10092,1995,0.85411069
1031,10092,1996,0.799598306
1031,10092,1997,0.775886439
1031,10092,1999,0.894353546
1031,10092,2000,0.817232449
1031,10092,2001,0.874094441
1031,10092,2002,0.868947138
1031,10092,2003,0.842920648
1031,10092,2004,0.767392512
1031,10092,2005,0.653573149
1031,10092,2006,0.71873361
1031,10092,2007,0.757329418
1031,10092,2008,0.75571067
1031,10092,2009,0.719104799
1031,10092,2010,0.778981149
1031,10092,2011,0.748230009
1031,10092,2012,0.755125328
1031,10092,2013,0.765730438
1031,10092,2014,0.765360269
