year,TM8.61,TM11.61,TM12.61,TM10.61,TM9.61,TM3.61,TM1.61,TM2.61,TM5.61,TM6.61,TM7.61,TM12.91,TM1.91,TM6.91,TM3.91,TM4.91,TM7.91,TM8.91,TM9.91,TM10.91,TM2.91,TM4.94,TM5.94,TM11.94,TM9.94,TM6.94,TM10.94,TM1.94,TM7.94,TM8.94,TM2.94,TM5.97,TM2.97,TM1.97,TM7.97,TM11.97,TM10.97,TM9.97,TM6.97,TM8.97,TM4.97,TM12.97,TM10.19,TM1.19,TM4.19,TM5.19,TM3.19,TM7.19,TM6.19,TM8.19,TM12.19,TM9.19,TM11.19,TM7.23,TM5.23,TM6.23,TM2.23,TM3.23,TM1.23,TM10.23,TM8.23,TM4.23,TM12.23,TM11.23,TM9.23,TM7.29,TM6.29,TM5.29,TM4.29,TM3.29,TM2.29,TM1.29,TM12.29,TM11.29,TM10.29,TM8.29,TM8.30,TM3.30,TM2.30,TM1.30,TM5.30,TM4.30,TM6.30,TM7.30,TM9.30,TM10.30,TM11.30,TM12.30,TM9.29
1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.702,NA,NA,0.984,NA,NA,NA,NA,1.199,0.582,NA,1.2655,NA,NA,1.894,NA,0.9405,0.61,1.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.046,1.993,0.4965,NA,NA,0.951,0.576,1.0175,NA,0.851,1.829,0.516,0.674,1.3555,1.1955,NA,1.516,1.2805,NA,1.4835,1.417,1.578,1.337,0.8785
1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5045,NA,NA,1,NA,NA,NA,NA,0.4375,1.2325,NA,0.4785,0.421,NA,1.433,NA,0.778,0.688,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9505,1.562,0.7275,NA,2.42,2.312,0.635,1.3945,NA,0.953,1.8935,0.9925,0.56,2.4755,1.0235,NA,0.742,0.758,NA,0.9025,0.88,1.204,0.8915,0.5845
1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.933,NA,2.125,NA,NA,NA,NA,NA,NA,2.2015,NA,NA,1.679,NA,NA,NA,NA,0.232,2.158,NA,0.745,1.281,NA,0.4895,NA,0.602,1.147,0.6225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.107,1.542,0.8225,NA,2.43,2.399,0.464,1.0475,1.677,2.773,1.8625,1.032,0.486,1.5805,0.8805,NA,0.885,0.7325,NA,0.3525,0.894,1.0555,0.7765,0.1605
1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2465,NA,2.408,NA,NA,NA,NA,NA,NA,1.567,NA,NA,1.601,NA,NA,NA,NA,0.4345,1.564,NA,0.929,1.279,NA,0.888,NA,0.973,1.335,0.7405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08,1.881,0.649,NA,3.038,2.768,0.993,3.4485,1.127,7.526,1.3605,1.192,0.73,1.39,1.5065,NA,1.409,1.0495,NA,0.579,1.7165,1.496,1.195,0.9985
1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1145,NA,2.1775,NA,NA,NA,NA,NA,NA,1.35,NA,NA,1.512,NA,NA,NA,NA,1.3185,1.7955,NA,1.074,1.558,NA,1.2815,NA,1.2005,2.1015,1.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.152,2.452,1.0835,4.0085,3.021,3.367,1.762,3.189,1.9905,2.106,2.994,0.732,0.972,2.0105,1.8415,NA,1.293,1.284,NA,0.8525,1.925,1.852,1.404,1.237
1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,0.431,NA,NA,NA,NA,NA,NA,0.4875,NA,NA,0.85,NA,NA,NA,NA,1.599,1.8425,NA,1.3025,1.1045,NA,1.293,0.863,1.0275,2.004,1.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.345,2.501,1.39,2.0045,2.786,3.298,1.393,2.999,1.6535,2.071,2.562,0.3685,0.762,2.0325,1.3205,NA,1.1675,1.232,NA,1.0075,1.647,1.3875,0.9415,1.816
1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4245,NA,0.817,NA,NA,NA,NA,NA,NA,1.4325,NA,NA,1.598,NA,NA,NA,NA,1.472,1.531,NA,1.37,1.3415,NA,1.1945,1.092,1.079,1.711,1.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1245,2.053,1.3065,2.4265,3.222,3.512,1.224,3.188,1.892,1.667,2.223,0.047,0.994,1.3315,1.5325,NA,1.4215,1.182,NA,0.8195,1.4365,1.009,1.2585,2.3015
1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2175,NA,0.695,NA,NA,NA,NA,1.716,NA,1.038,NA,NA,1.639,NA,NA,NA,NA,1.2275,1.098,NA,0.881,1.147,NA,0.8185,0.773,0.6195,1.157,0.8595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,1.968,0.7975,1.3305,2.2425,2.271,0.803,1.785,0.5955,1.718,1.9,0.0635,0.4885,1.0195,0.8935,NA,0.746,0.3005,NA,0.7535,1.078,0.7525,0.6575,1.708
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.609,2.757,NA,0.941,NA,NA,NA,NA,1.748,NA,1.272,NA,NA,2.207,NA,NA,NA,NA,1.576,1.3535,NA,1.07,1.508,0.966,0.5745,0.507,0.632,1.8365,1.3015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.393,2.519,1.516,0.965,2.134,2.39,1.063,2.4575,0.8515,1.975,2.0855,0.251,0.2125,0.6485,0.8435,NA,0.734,0.2065,NA,0.2845,0.387,0.596,0.4155,1.9585
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986,1.9485,NA,0.8785,NA,NA,NA,NA,1.547,NA,0.948,NA,NA,1.631,NA,NA,NA,NA,1.162,0.9095,NA,0.987,1.0395,0.764,0.7355,0.681,0.63,1.45,1.0935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.354,2.27,1.375,1.473,2.3395,3.359,1.197,2.4595,1.178,2.172,2.298,0.2165,0.5615,0.649,0.9815,NA,0.789,0.5405,NA,0.6145,1.326,1.0105,0.485,2.0735
