year,TM12.91,TM1.91,TM6.91,TM3.91,TM4.91,TM7.91,TM8.91,TM9.91,TM10.91,TM2.91,TA6.91,TA3.91,TA2.91,TA5.91,TA10.91,TA7.91,TA1.91,TA4.91,TA8.91,TA9.91
1922,NA,NA,1.774,1.462,NA,1.075,NA,NA,NA,NA,NA,1.143,NA,NA,NA,1.355,NA,NA,NA,NA
1923,NA,NA,0.81,1.021,NA,0.751,NA,NA,NA,NA,NA,1.876,NA,0.816,NA,1.121,NA,NA,NA,NA
1924,NA,NA,0.3935,0.4835,NA,0.415,NA,NA,NA,NA,NA,0.673,NA,0.962,NA,0.377,NA,NA,NA,NA
1925,NA,NA,0.516,0.43,NA,0.534,NA,NA,NA,NA,NA,0.8625,NA,0.9935,NA,0.484,NA,NA,NA,NA
1926,NA,NA,0.5635,1.2465,NA,1.0865,NA,NA,NA,NA,NA,1.705,NA,1.816,NA,1.889,NA,NA,NA,NA
1927,NA,NA,0.6255,1.1425,NA,0.9415,NA,NA,NA,NA,NA,0.989,NA,1.52,NA,1.272,NA,NA,NA,NA
1928,NA,NA,0.81,0.2735,NA,0.2385,NA,NA,NA,NA,NA,0.544,NA,0.8565,NA,0.338,NA,NA,NA,NA
1929,NA,NA,1.0905,1.2515,NA,0.7115,NA,NA,NA,NA,1.207,1.272,NA,1.421,NA,0.577,NA,NA,NA,NA
1930,2.9605,NA,1.1725,1.9435,1.9185,0.9015,1.0785,1.9835,NA,NA,1.825,1.7445,NA,1.9935,NA,1.379,NA,NA,NA,NA
1931,2.8835,1.4025,0.796,1.591,3.305,0.68,2.114,2.0205,1.4765,NA,1.365,1.831,NA,1.1855,NA,1.084,NA,4.04,NA,NA
1932,2.7765,2.0585,1.36,1.7105,2.3245,0.746,2.4415,1.65,1.161,NA,1.175,2.0055,NA,1.8865,NA,1.092,NA,2.523,NA,NA
1933,1.8455,1.365,2.2185,2.604,1.873,0.9085,1.5055,1.442,1.1855,NA,1.808,2.1905,NA,2.392,NA,1.968,NA,3.427,NA,NA
1934,2.5315,1.6225,0.54,0.108,0.3935,0.1585,0.326,0.623,1.0975,NA,0.293,0.2925,1.89,0.6825,NA,0.174,NA,0.491,NA,NA
1935,2.855,1.727,1.849,1.381,1.809,0.8165,1.3905,1.4615,1.2735,NA,2.221,1.5685,1.548,1.5555,NA,1.689,NA,2.194,NA,NA
1936,1.758,1.655,1.604,1.497,1.0965,0.915,1.2005,1.388,1.7485,NA,1.915,1.276,1.463,1.3915,NA,2.188,NA,1.8655,1.836,NA
1937,1.472,1.366,1.273,1.0125,1.045,0.771,1.061,0.988,1.513,NA,1.102,1.055,0.833,1.3245,NA,1.392,1.37,1.37,0.748,NA
1938,1.355,1.6545,1.2105,0.907,0.984,0.6475,0.881,0.8695,1.4435,NA,1.429,1.0435,0.643,1.746,NA,1.279,1.753,1.374,0.835,NA
1939,1.5995,1.5475,1.577,1.628,1.1405,0.979,1.0545,1.149,1.792,NA,2.243,1.4845,0.856,1.5785,NA,1.589,2.045,1.6805,1.317,NA
1940,1.7055,1.7225,1.661,2.032,1.2105,1.021,1.0125,1.307,1.874,NA,1.793,1.9445,1.502,2.029,NA,1.844,2.35,1.805,2.085,NA
1941,1.124,0.8755,1.077,1.3175,0.9125,0.8455,0.525,1.2885,1.761,NA,1.291,1.08,1.124,1.4225,NA,1.217,1.583,1.33,1.649,NA
1942,1.1315,1.1145,0.955,1.7995,1.0765,1.059,0.8275,1.014,1.6325,NA,1.204,0.91,1.354,1.511,NA,1.53,1.728,1.706,1.842,1.155
1943,1.171,1.3895,1.0435,1.2945,1.0075,0.967,0.8475,1.116,1.2845,NA,1.131,0.6555,1.016,1.3595,NA,1.491,1.357,1.551,1.331,0.946
1944,1.255,1.893,1.113,1.6005,1.2725,1.3125,1.2125,1.45,1.864,NA,1.499,1.4505,1.615,1.7925,NA,1.931,2.119,2.0785,1.799,1.051
1945,1.5975,1.4555,0.9515,1.553,1.1695,1.157,1.215,1.2465,1.6895,NA,1.229,1.479,1.167,2.0585,NA,1.713,1.897,1.888,2.089,0.987
1946,1.342,1.4175,1.2885,1.6725,1.009,1.4335,1.219,1.2245,1.62,NA,1.268,1.108,1.412,1.6685,NA,1.928,2.112,2.0575,1.978,0.779
1947,0.9175,0.831,0.556,0.9475,0.899,1.0035,0.627,0.908,1.0335,NA,0.697,0.5605,0.87,0.9725,NA,1.235,1.345,1.4775,0.7215,0.521
1948,0.817,1.019,0.8215,1.1035,1.049,1.097,0.9135,1.298,1.4975,NA,1.077,0.7765,0.918,1.241,NA,1.771,1.396,1.8845,1.1045,0.766
1949,0.414,0.758,0.248,0.61,0.7125,0.723,0.483,1.0765,1.0905,NA,0.681,0.5975,0.411,1.18,NA,1.06,1.063,1.441,0.8435,0.316
1950,0.89,1.3245,0.633,1.3485,1.323,1.0625,1.209,1.409,1.869,NA,1.089,0.8515,0.888,1.536,NA,1.529,1.735,1.994,1.4985,1.314
1951,0.787,0.7745,0.3905,0.8265,0.6265,0.713,0.7485,0.8665,1.01,NA,0.768,0.469,0.484,0.9825,NA,0.942,0.907,1.1285,0.9715,0.712
1952,0.803,0.8565,0.37,0.66,0.739,0.6155,0.523,0.9525,1.142,NA,0.587,0.531,0.657,1.0835,NA,0.957,0.659,1.491,0.9645,0.417
1953,0.5895,0.8705,0.4705,1.178,0.7585,0.82,0.4975,1.0515,0.993,NA,0.772,0.9805,1.007,1.05,NA,1.03,1.026,1.376,1.024,0.418
1954,0.5805,0.5045,0.323,0.9695,0.6615,0.722,0.6055,0.7775,1.0315,NA,0.476,0.843,0.635,0.899,NA,1.141,0.825,1.311,0.98,0.497
1955,0.311,0.3365,0.2265,0.632,0.265,0.485,0.437,0.494,0.7965,NA,0.278,0.636,0.54,0.824,NA,0.586,0.608,0.8695,0.7255,0.338
1956,0.311,0.3335,0.301,0.696,0.602,0.546,0.749,0.5075,0.6765,NA,0.536,0.7305,0.435,0.9325,NA,0.778,0.661,1.245,0.954,0.391
1957,0.6415,0.693,0.633,1.2075,1.1035,0.7375,0.871,1.089,1.2575,NA,0.888,0.9855,0.794,1.1335,NA,1.349,1.061,1.925,1.476,1.024
1958,0.691,0.548,0.4775,0.8705,0.6755,0.8675,0.8115,1.164,1.2795,NA,0.936,0.877,0.666,0.891,NA,1.101,1.031,1.57,0.9215,1.221
1959,0.3555,0.406,0.551,0.7355,0.517,0.5695,0.6035,0.811,0.8645,NA,0.714,0.7245,0.632,0.826,NA,0.676,0.873,1.1885,0.735,1.023
1960,0.6095,0.7025,0.8215,1.2105,1.1075,0.7135,0.9095,1.449,1.4285,NA,1.397,1.3365,0.707,1.331,NA,1.047,1.234,1.6905,1.13,1.112
1961,0.712,0.9225,0.705,1.294,0.8275,0.7745,1.0495,1.2425,1.4585,NA,1.787,1.654,0.879,1.514,NA,1.063,1.297,1.627,1.7155,1.46
1962,0.709,0.7795,0.4505,1.001,0.818,0.7365,0.939,1.3305,1.323,NA,1.11,1.4075,0.949,1.3645,NA,0.937,1.1,1.3485,1.5685,1.388
1963,0.3885,0.3975,0.4575,0.7965,0.6895,0.872,0.6435,0.969,1.2925,NA,0.944,1.4135,0.598,1.0885,NA,0.753,1.384,1.571,1.0975,0.866
1964,0.665,0.476,0.545,0.599,0.5455,0.74,0.6835,0.864,0.7795,NA,0.436,0.92,0.569,0.734,NA,0.889,0.759,1.5545,0.765,1.185
1965,0.296,0.1595,0.2145,0.2855,0.2155,0.346,0.487,0.4925,0.917,NA,0.381,0.4335,0.223,0.7135,NA,0.222,0.758,1.17,0.7065,0.407
1966,0.375,0.239,0.32,0.236,0.1275,0.2615,0.453,0.476,0.809,NA,0.349,0.3655,0.301,0.7325,NA,0.27,0.983,0.6595,0.609,0.376
1967,0.1655,0.099,0.322,0.243,0.131,0.375,0.184,0.325,0.3105,NA,0.333,0.302,0.229,0.3185,NA,0.198,0.46,0.514,0.5765,0.278
1968,0.0475,0.0205,0.0285,0.07,0.0435,0.081,0.059,0,0.089,NA,0.048,0.07,0.103,0.077,NA,0.103,0.11,0.0715,0.156,0.025
1969,0.152,0.149,0.1665,0.322,0.1465,0.193,0.2955,0.1745,0.4245,NA,0.428,0.2855,0.34,0.509,NA,0.469,0.7495,0.5425,0.403,0.371
1970,0.1355,0.1745,0.222,0.1315,0.119,0.263,0.2175,0.164,0.264,0.128,0.159,0.3225,0.356,0.354,NA,0.246,0.4045,0.2685,0.294,0.478
1971,0.3625,0.2355,0.309,0.177,0.201,0.4275,0.429,0.115,0.3095,0.256,0.349,0.545,0.637,0.772,NA,0.435,0.568,0.845,0.825,0.473
1972,0.383,0.1405,0.345,0.363,0.3555,0.543,0.8305,0.1025,0.454,0.246,0.572,0.8605,0.704,1.075,1.249,0.944,0.8185,1.638,1.525,0.667
1973,0.245,0.197,0.2255,0.1425,0.1,0.5505,0.607,0.122,0.5275,0.266,0.333,0.66,0.663,0.6515,0.338,0.562,0.674,0.7035,1.155,0.439
1974,0.4625,0.181,0.3265,0.2925,0.2095,0.5275,0.5765,0.102,0.626,0.271,0.426,0.7775,0.737,0.709,0.53,0.762,0.8415,0.815,1.0655,0.417
1975,0.2425,0.1855,0.219,0.238,0.204,0.31,0.4605,0.1465,0.506,0.214,0.317,0.678,0.625,0.6965,0.742,0.357,0.5305,0.908,1.1045,0.355
1976,0.36,0.1595,0.1895,0.3135,0.302,0.4275,0.5265,0.241,0.4865,0.262,0.413,0.654,0.57,0.8035,0.542,0.587,0.631,1.0575,0.9615,0.591
1977,0.193,0.153,0.1555,0.235,0.1395,0.388,0.442,0.206,0.3355,0.23,0.254,0.5525,0.484,0.6795,0.497,0.412,0.435,0.809,0.764,0.476
1978,0.2125,0.216,0.1605,0.1285,0.2155,0.312,0.3995,0.3015,0.43,0.158,0.333,0.596,0.507,0.5775,0.695,0.285,0.674,0.8105,0.6495,0.845
1979,0.2285,0.124,0.094,0.319,0.2725,0.4535,0.4185,0.1845,0.444,0.216,0.317,0.7905,0.445,0.9355,1.249,0.5,0.603,1.4155,0.902,0.831
1980,0.3465,0.2685,0.1735,0.481,0.295,0.4225,0.554,0.3565,0.87,0.19,0.81,0.7385,0.508,0.602,1.168,0.71,0.833,1.249,0.7545,0.824
1981,0.5865,0.3325,0.2385,0.5615,0.4245,0.6205,0.877,0.432,0.9635,0.351,0.855,1.1655,0.608,0.977,1.392,0.975,0.9375,1.92,0.883,0.917
1982,0.696,0.253,0.191,0.7525,0.4235,0.4975,0.7895,0.67,1.1085,0.274,0.973,0.8705,0.791,1.126,1.432,0.809,0.8415,1.9845,0.8315,0.889
1983,0.403,0.2015,0.101,0.5155,0.2515,0.4485,0.5575,0.433,0.5855,0.386,0.618,0.6865,0.443,0.732,0.812,0.537,0.3675,1.429,0.629,0.669
1984,0.855,0.3735,0.213,0.6795,0.6325,0.4365,0.9325,0.6685,1.044,0.347,1.212,0.878,0.712,1.181,1.337,0.922,0.9115,2.335,1.2125,1.057
1985,0.501,0.2145,0.185,0.9155,0.3635,0.506,0.772,0.663,1.002,0.276,0.857,0.917,0.692,0.952,1.19,0.915,0.709,1.97,1.0395,0.797
1986,0.8965,0.315,0.1915,0.7585,0.651,0.4715,0.7845,0.873,1.032,0.419,1.299,0.9945,0.758,1.1785,1.506,1.398,0.9725,2.582,1.283,1.173
1987,0.162,0.0775,0.15,0.367,0.162,0.286,0.336,0.393,0.765,0.213,0.491,0.6085,0.24,0.558,0.72,0.561,0.397,1.055,0.6225,0.416
1988,0.361,0.1845,0.1725,0.456,0.3055,0.2955,0.483,0.534,0.6745,0.147,0.967,0.8065,0.48,0.7245,0.927,0.649,0.5945,1.471,0.7655,0.907
1989,0.4885,0.2275,0.12,0.327,0.2595,0.2325,0.522,0.4105,0.797,0.282,1.519,0.849,0.183,0.7915,0.958,0.428,0.8025,1.8535,0.82,0.665
1990,0.1765,0.0515,0.0615,0.206,0.1465,0.1975,0.295,0.2035,0.3665,0.099,0.87,0.4045,0.048,0.471,0.634,0.365,0.371,1.4525,0.4355,0.355
1991,0.15,0.0325,0.057,0.133,0.0595,0.1785,0.5325,0.1105,0.575,0.068,1.079,0.3045,0.063,0.685,0.989,0.546,0.537,2.219,0.609,0.219
1992,0.083,0.0425,0.0515,0.0945,0.0675,0.183,0.0965,0.0925,0.202,0.071,0.412,0.211,0.103,0.237,0.289,0.158,0.23,0.705,0.327,0.079
1993,0.2185,0.0695,0.0575,0.0735,0.09,0.1675,0.2185,0.0505,0.3545,0.042,0.745,0.2335,0.199,0.6975,0.454,0.561,0.32,2.068,0.666,0.22
1994,0.1795,0.078,0.0505,0.226,0.1035,0.2435,0.283,0.1375,0.32,0.107,0.825,0.2035,0.293,0.649,0.8,0.617,0.3285,1.3105,0.6695,0.2
1995,0.2945,0.03,0.0675,0.1225,0.0975,0.349,0.27,0.132,0.4725,0.104,0.665,0.401,0.166,0.805,0.935,0.838,0.6295,1.138,0.6695,0.373
1996,0.5295,0.069,0.075,0.235,0.1845,0.2915,0.5905,0.138,0.5465,0.089,0.769,0.361,0.294,0.775,0.909,1.026,0.6305,1.1875,0.799,0.661
1997,0.2215,0.1635,0.055,0.2105,0.146,0.316,0.2525,0.233,0.469,0.114,0.69,0.3635,0.325,0.6695,0.617,0.608,0.53,0.8895,0.577,0.44
1998,0.2435,0.1945,0.082,0.169,0.181,0.2215,0.2395,0.2535,0.572,0.105,0.667,0.416,0.23,0.649,0.622,0.48,0.412,1.0145,0.435,0.412
1999,0.257,0.229,0.0735,0.274,0.29,0.3455,0.45,0.3835,0.5815,0.238,1.032,0.574,0.42,0.7745,0.993,0.797,0.9955,1.575,0.849,0.61
2000,0.2645,0.106,0.061,0.38,0.268,0.2995,0.591,0.3655,0.689,0.295,1.143,0.992,0.476,0.9655,1.132,0.873,0.768,1.966,1.1465,0.895
2001,0.3515,0.1545,NA,0.459,0.1065,0.2765,0.592,0.522,0.916,0.211,1.451,0.953,0.5,1.2075,1.16,1.152,0.923,2.3085,1.298,1.14
2002,0.3065,0.1735,NA,0.3495,0.1535,0.285,0.438,0.4615,0.7595,0.129,1.128,0.6665,0.198,1.1415,1.137,1.088,0.8115,1.7845,0.694,0.789
2003,0.0885,NA,NA,0.2845,0.133,0.3035,0.4465,0.42,0.49,0.152,1.027,0.689,0.143,0.8635,0.714,0.836,0.605,1.451,0.7735,0.629
2004,0.089,NA,NA,0.1375,0.0575,0.2685,0.24,0.3065,0.3495,0.13,0.581,0.2995,0.175,0.5015,0.709,0.532,0.302,0.808,0.542,0.388
2005,0.066,NA,NA,NA,0.062,NA,0.0765,0.0795,0.0275,0.035,0.214,0.0395,0.048,0.2365,0.504,0.141,0.0395,0.1065,0.083,0.129
2006,NA,NA,NA,NA,0.0645,NA,0.075,0.0515,0.059,0.032,0.29,0.0925,0.142,0.3705,1.188,0.494,0.194,0.7125,0.286,0.313
2007,NA,NA,NA,NA,NA,NA,0.0745,0.0605,0.0645,0.055,0.233,0.0965,0.143,0.353,0.443,0.315,0.255,0.946,0.3445,0.312
2008,NA,NA,NA,NA,NA,NA,NA,0.0615,NA,0.069,0.559,0.0855,0.159,0.3615,0.325,0.219,0.373,0.5645,0.263,0.271
2009,NA,NA,NA,NA,NA,NA,NA,0.0515,NA,0.075,0.499,0.081,0.088,0.6,0.504,0.631,0.6215,1.084,0.562,0.457
2010,NA,NA,NA,NA,NA,NA,NA,0.077,NA,0.123,0.748,0.154,0.317,0.5115,0.699,0.553,0.3775,0.557,0.2815,0.412
2011,NA,NA,NA,NA,NA,NA,NA,0.071,NA,0.139,0.631,0.2335,0.214,0.57,0.896,0.627,0.343,0.745,0.3295,0.488
2012,NA,NA,NA,NA,NA,NA,NA,0.065,NA,0.066,0.816,0.169,0.142,0.467,0.643,0.291,0.13,0.5825,0.339,0.339
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087,0.687,0.234,0.103,0.8325,0.904,0.651,0.4655,1.4175,0.559,0.495
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806,0.162,0.095,0.5105,0.894,0.361,0.253,0.591,0.3405,0.251
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485,0.1135,0.119,0.6775,0.934,0.299,0.3815,0.9065,0.404,0.361
